case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
short_high-n10000-p128,direct,known5_fraction,retained,2,,3061984,1989184,85996,85825,176963584
short_high-n10000-p128,direct,known5_fraction,retained,3,,3061984,1989184,85996,85825,176668672
short_high-n10000-p128,direct,all,allocation,1,15736672,,,,,
short_high-n10000-p128,direct,all,retained,1,,59206320,59114392,1307643,1306282,404619264
short_high-n10000-p128,direct,all,retained,2,,59206320,59114392,1307643,1306282,405667840
short_high-n10000-p128,direct,all,retained,3,,59206320,59114392,1307643,1306282,405487616
short_high-n10000-p128,direct,datasig,allocation,1,10628664,,,,,
short_high-n10000-p128,direct,datasig,retained,1,,10940384,10845168,49812,48116,340180992
short_high-n10000-p128,direct,datasig,retained,2,,10940384,10845168,49812,48116,340443136
short_high-n10000-p128,direct,datasig,retained,3,,10940384,10845168,49812,48116,340443136
short_high-n10000-p128,current,load,allocation,1,10624360,,,,,
short_high-n10000-p128,current,load,retained,1,,10848888,10757944,44763,43401,312180736
short_high-n10000-p128,current,load,retained,2,,10848888,10757944,44763,43401,313131008
short_high-n10000-p128,current,load,retained,3,,10848888,10757944,44763,43401,310706176
short_high-n10000-p128,current,first_value,allocation,1,10595752,,,,,
short_high-n10000-p128,current,first_value,retained,1,,10866096,10775112,45665,44295,312180736
short_high-n10000-p128,current,first_value,retained,2,,10866096,10775112,45665,44295,313638912
short_high-n10000-p128,current,first_value,retained,3,,10866096,10775112,45665,44295,311771136
short_high-n10000-p128,current,fraction,allocation,1,14100432,,,,,
short_high-n10000-p128,current,fraction,retained,1,,12419936,11335944,69543,68070,340410368
short_high-n10000-p128,current,fraction,retained,2,,12419936,11335944,69543,68070,341377024
short_high-n10000-p128,current,fraction,retained,3,,12419936,11335944,69543,68070,340049920
short_high-n10000-p128,current,known5_fraction,allocation,1,4442208,,,,,
short_high-n10000-p128,current,known5_fraction,retained,1,,3100160,2027360,88119,87948,177029120
short_high-n10000-p128,current,known5_fraction,retained,2,,3100160,2027360,88119,87948,176979968
short_high-n10000-p128,current,known5_fraction,retained,3,,3100160,2027360,88119,87948,176832512
short_high-n10000-p128,current,all,allocation,1,15751576,,,,,
