case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
numeric-n10000-p128,baseline,current,fraction,retained,3,,11186816,811744,56359,54617,151322624
numeric-n10000-p128,baseline,current,known5_fraction,allocation,1,2025768,,,,,
numeric-n10000-p128,baseline,current,known5_fraction,retained,1,,1783832,1103824,75062,74985,140673024
numeric-n10000-p128,baseline,current,known5_fraction,retained,2,,1783832,1103824,75062,74985,140640256
numeric-n10000-p128,baseline,current,known5_fraction,retained,3,,1783832,1103824,75062,74985,142950400
numeric-n10000-p128,baseline,current,all,allocation,1,10714520,,,,,
numeric-n10000-p128,baseline,current,all,retained,1,,10934592,598616,44415,42674,149880832
numeric-n10000-p128,baseline,current,all,retained,2,,10934592,598616,44415,42674,150077440
numeric-n10000-p128,baseline,current,all,retained,3,,10934592,598616,44415,42674,149880832
numeric-n10000-p128,baseline,current,datasig,allocation,1,10732656,,,,,
numeric-n10000-p128,baseline,current,datasig,retained,1,,11142608,807624,55793,54052,162004992
numeric-n10000-p128,baseline,current,datasig,retained,2,,11142608,807624,55793,54052,164528128
numeric-n10000-p128,baseline,current,datasig,retained,3,,11142608,807624,55793,54052,161562624
numeric-n10000-p128,baseline,direct,load,allocation,1,10698544,,,,,
numeric-n10000-p128,baseline,direct,load,retained,1,,10821048,487832,38309,36669,149897216
numeric-n10000-p128,baseline,direct,load,retained,2,,10821048,487832,38309,36669,149848064
numeric-n10000-p128,baseline,direct,load,retained,3,,10821048,487832,38309,36669,152158208
numeric-n10000-p128,baseline,direct,first_value,allocation,1,10698544,,,,,
numeric-n10000-p128,baseline,direct,first_value,retained,1,,10869696,534672,41085,39337,149733376
numeric-n10000-p128,baseline,direct,first_value,retained,2,,10869696,534672,41085,39337,149798912
numeric-n10000-p128,baseline,direct,first_value,retained,3,,10869696,534672,41085,39337,149848064
numeric-n10000-p128,baseline,direct,fraction,allocation,1,11753304,,,,,
numeric-n10000-p128,baseline,direct,fraction,retained,1,,11147728,772656,54170,52428,150978560
numeric-n10000-p128,baseline,direct,fraction,retained,2,,11147728,772656,54170,52428,152207360
numeric-n10000-p128,baseline,direct,fraction,retained,3,,11147728,772656,54170,52428,151027712
numeric-n10000-p128,baseline,direct,known5_fraction,allocation,1,2025768,,,,,
numeric-n10000-p128,baseline,direct,known5_fraction,retained,1,,1745656,1065648,72938,72861,140558336
numeric-n10000-p128,baseline,direct,known5_fraction,retained,2,,1745656,1065648,72938,72861,140492800
numeric-n10000-p128,baseline,direct,known5_fraction,retained,3,,1745656,1065648,72938,72861,140443648
numeric-n10000-p128,baseline,direct,all,allocation,1,10699616,,,,,
numeric-n10000-p128,baseline,direct,all,retained,1,,10830896,494920,38786,37045,150880256
numeric-n10000-p128,baseline,direct,all,retained,2,,10830896,494920,38786,37045,149848064
numeric-n10000-p128,baseline,direct,all,retained,3,,10830896,494920,38786,37045,149929984
numeric-n10000-p128,baseline,direct,datasig,allocation,1,10717752,,,,,
numeric-n10000-p128,baseline,direct,datasig,retained,1,,11032640,698544,49799,48111,161284096
numeric-n10000-p128,baseline,direct,datasig,retained,2,,11032640,698544,49799,48111,161447936
numeric-n10000-p128,baseline,direct,datasig,retained,3,,11032640,698544,49799,48111,161382400
numeric-n10000-p128,numeric_snapshot,direct,load,allocation,1,451816,,,,,
numeric-n10000-p128,numeric_snapshot,direct,load,retained,1,,600944,493392,39943,37151,139755520
numeric-n10000-p128,numeric_snapshot,direct,load,retained,2,,600944,493392,39943,37151,139853824
numeric-n10000-p128,numeric_snapshot,direct,load,retained,3,,600944,493392,39943,37151,139657216
numeric-n10000-p128,numeric_snapshot,direct,first_value,allocation,1,531864,,,,,
numeric-n10000-p128,numeric_snapshot,direct,first_value,retained,1,,729680,540232,42729,39817,139821056
numeric-n10000-p128,numeric_snapshot,direct,first_value,retained,2,,729680,540232,42729,39817,142196736
numeric-n10000-p128,numeric_snapshot,direct,first_value,retained,3,,729680,540232,42729,39817,139837440
numeric-n10000-p128,numeric_snapshot,direct,fraction,allocation,1,2227008,,,,,
numeric-n10000-p128,numeric_snapshot,direct,fraction,retained,1,,928576,778544,55877,52931,142049280
numeric-n10000-p128,numeric_snapshot,direct,fraction,retained,2,,928576,778544,55877,52931,141852672
numeric-n10000-p128,numeric_snapshot,direct,fraction,retained,3,,928576,778544,55877,52931,141819904
numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,allocation,1,2185280,,,,,
numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,retained,1,,1186576,1065160,73046,72854,142999552
numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,retained,2,,1186576,1065160,73046,72854,146292736
numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,retained,3,,1186576,1065160,73046,72854,142999552
numeric-n10000-p128,numeric_snapshot,direct,all,allocation,1,10699032,,,,,
numeric-n10000-p128,numeric_snapshot,direct,all,retained,1,,629224,500480,41953,37524,150093824
numeric-n10000-p128,numeric_snapshot,direct,all,retained,2,,629224,500480,41932,37503,150274048
numeric-n10000-p128,numeric_snapshot,direct,all,retained,3,,629224,500480,41953,37524,150208512
numeric-n10000-p128,numeric_snapshot,direct,datasig,allocation,1,10717168,,,,,
numeric-n10000-p128,numeric_snapshot,direct,datasig,retained,1,,11082552,722856,53885,49509,164364288
numeric-n10000-p128,numeric_snapshot,direct,datasig,retained,2,,11082552,722856,53885,49509,163397632
numeric-n10000-p128,numeric_snapshot,direct,datasig,retained,3,,11082552,722856,53885,49509,163774464
pure-numeric-n10000-p128,numeric_snapshot,direct,load,allocation,1,451816,,,,,
pure-numeric-n10000-p128,numeric_snapshot,direct,load,retained,1,,605144,493456,40373,37163,135839744
pure-numeric-n10000-p128,numeric_snapshot,direct,load,retained,2,,605144,493456,40373,37163,136396800
pure-numeric-n10000-p128,numeric_snapshot,direct,load,retained,3,,605144,493456,40373,37163,135725056
pure-numeric-n10000-p128,numeric_snapshot,direct,first_value,allocation,1,461864,,,,,
pure-numeric-n10000-p128,numeric_snapshot,direct,first_value,retained,1,,656504,543000,42715,39392,135872512
pure-numeric-n10000-p128,numeric_snapshot,direct,first_value,retained,2,,656504,543000,42715,39392,135905280
pure-numeric-n10000-p128,numeric_snapshot,direct,first_value,retained,3,,656504,543000,42715,39392,135987200
pure-numeric-n10000-p128,numeric_snapshot,direct,fraction,allocation,1,1895768,,,,,
pure-numeric-n10000-p128,numeric_snapshot,direct,fraction,retained,1,,1184864,809568,58268,54708,138788864
pure-numeric-n10000-p128,numeric_snapshot,direct,fraction,retained,2,,1184864,809568,58268,54708,136282112
pure-numeric-n10000-p128,numeric_snapshot,direct,fraction,retained,3,,1184864,809568,58268,54708,136413184
pure-numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,allocation,1,1854040,,,,,
pure-numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,retained,1,,1438928,1096128,75043,74625,137510912
pure-numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,retained,2,,1438928,1096128,75043,74625,137330688
pure-numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,retained,3,,1438928,1096128,75043,74625,137527296
pure-numeric-n10000-p128,numeric_snapshot,direct,all,allocation,1,5279032,,,,,
pure-numeric-n10000-p128,numeric_snapshot,direct,all,retained,1,,3457544,500544,42795,37536,141656064
pure-numeric-n10000-p128,numeric_snapshot,direct,all,retained,2,,3457544,500544,42795,37536,139165696
pure-numeric-n10000-p128,numeric_snapshot,direct,all,retained,3,,3457544,500544,42795,37536,139313152
pure-numeric-n10000-p128,numeric_snapshot,direct,datasig,allocation,1,13542112,,,,,
pure-numeric-n10000-p128,numeric_snapshot,direct,datasig,retained,1,,11087592,727104,54424,49842,157138944
