case,family,rows,file_columns,loaded_columns,scenario,comparison,left_method,right_method,left_ms,right_ms,right_minus_left_ms,right_minus_left_percent,left_minimum_ms,left_maximum_ms,right_minimum_ms,right_maximum_ms
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,all,deferred_minus_current,current_all,deferred_all,18.666666666666668,18.785714285714285,0.11904761904761685,0.6377551020408045,17.499999999999996,20.5,17.857142857142858,19.714285714285715
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,datasig,direct_minus_current,current_datasig,direct_datasig,87.25,80.25,-7.0,-8.022922636103146,85.0,94.5,78.0,87.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,datasig,deferred_minus_direct,direct_datasig,deferred_datasig,80.25,88.25,8.0,9.968847352024923,78.0,87.0,84.5,95.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,datasig,deferred_minus_current,current_datasig,deferred_datasig,87.25,88.25,1.0,1.1461318051575908,85.0,94.5,84.5,95.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,load,deferred_direct_minus_deferred_current,deferred_current_load,deferred_load,16.857142857142854,7.933333333333332,-8.923809523809522,-52.93785310734464,15.285714285714286,17.142857142857142,7.4,8.733333333333334
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,load,private_eager_minus_baseline_direct,direct_load,private_eager_load,7.7666666666666675,7.966666666666666,0.1999999999999984,2.5751072961373245,7.533333333333334,8.466666666666667,7.466666666666667,8.200000000000001
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,load,serial_minus_auto_direct,direct_load,serial_direct_load,7.7666666666666675,9.458333333333332,1.6916666666666647,21.781115879828295,7.533333333333334,8.466666666666667,9.0,10.25
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,all,private_eager_minus_baseline_direct,direct_all,private_eager_all,11.2,10.95,-0.25,-2.2321428571428603,10.499999999999998,11.899999999999999,10.4,12.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,all,serial_minus_auto_direct,direct_all,serial_direct_all,11.2,12.625,1.4250000000000007,12.723214285714302,10.499999999999998,11.899999999999999,12.5,13.375
pure-numeric-n1000-p128,pure_numeric,1000,128,128,load,direct_minus_current,current_load,direct_load,2.385416666666667,1.3562500000000002,-1.0291666666666668,-43.144104803493455,2.3125,2.6041666666666665,1.3375,1.5125
pure-numeric-n1000-p128,pure_numeric,1000,128,128,load,deferred_minus_direct,direct_load,deferred_load,1.3562500000000002,1.1822916666666665,-0.17395833333333366,-12.82642089093704,1.3375,1.5125,1.15625,1.3229166666666667
pure-numeric-n1000-p128,pure_numeric,1000,128,128,load,deferred_minus_current,current_load,deferred_load,2.385416666666667,1.1822916666666665,-1.2031250000000004,-50.436681222707435,2.3125,2.6041666666666665,1.15625,1.3229166666666667
pure-numeric-n1000-p128,pure_numeric,1000,128,128,fraction,direct_minus_current,current_fraction,direct_fraction,3.546875,2.6458333333333335,-0.9010416666666665,-25.40381791483113,3.375,4.0,2.5416666666666665,2.9374999999999996
pure-numeric-n1000-p128,pure_numeric,1000,128,128,fraction,deferred_minus_direct,direct_fraction,deferred_fraction,2.6458333333333335,2.875,0.22916666666666652,8.66141732283463,2.5416666666666665,2.9374999999999996,2.7500000000000004,3.1041666666666665
pure-numeric-n1000-p128,pure_numeric,1000,128,128,fraction,deferred_minus_current,current_fraction,deferred_fraction,3.546875,2.875,-0.671875,-18.942731277533042,3.375,4.0,2.7500000000000004,3.1041666666666665
pure-numeric-n1000-p128,pure_numeric,1000,128,7,known5_fraction,direct_minus_current,current_known5_fraction,direct_known5_fraction,1.7890625,1.59375,-0.1953125,-10.917030567685593,1.65625,1.953125,1.515625,1.78125
pure-numeric-n1000-p128,pure_numeric,1000,128,7,known5_fraction,deferred_minus_direct,direct_known5_fraction,deferred_known5_fraction,1.59375,2.0416666666666665,0.4479166666666665,28.104575163398682,1.515625,1.78125,1.9375,2.3958333333333335
pure-numeric-n1000-p128,pure_numeric,1000,128,7,known5_fraction,deferred_minus_current,current_known5_fraction,deferred_known5_fraction,1.7890625,2.0416666666666665,0.2526041666666665,14.119359534206687,1.65625,1.953125,1.9375,2.3958333333333335
pure-numeric-n1000-p128,pure_numeric,1000,128,128,all,direct_minus_current,current_all,direct_all,2.791666666666667,1.8046875,-0.986979166666667,-35.354477611940304,2.6875,2.9999999999999996,1.703125,2.0
pure-numeric-n1000-p128,pure_numeric,1000,128,128,all,deferred_minus_direct,direct_all,deferred_all,1.8046875,2.479166666666667,0.674479166666667,37.37373737373739,1.703125,2.0,2.3958333333333335,2.8333333333333335
pure-numeric-n1000-p128,pure_numeric,1000,128,128,all,deferred_minus_current,current_all,deferred_all,2.791666666666667,2.479166666666667,-0.3125,-11.194029850746269,2.6875,2.9999999999999996,2.3958333333333335,2.8333333333333335
pure-numeric-n1000-p128,pure_numeric,1000,128,128,datasig,direct_minus_current,current_datasig,direct_datasig,11.849999999999998,10.65,-1.1999999999999975,-10.126582278480988,11.0,12.6,10.0,11.700000000000001
