case,decoder,variant,phase,observations,median_ms,minimum_ms,maximum_ms
numeric-n1000-p1024,numeric_snapshot,direct,column_handle,7,0.010000017937272801,0.00699999509379268,0.0659999786876142
numeric-n1000-p1024,numeric_snapshot,direct,first_value_same_handle,7,0.11099997209385,0.101000012364239,0.524999981280416
numeric-n1000-p1024,numeric_snapshot,direct,repeat_value_same_handle,7,0.062000006437301594,0.0529999961145222,0.0850000069476664
numeric-n1000-p1024,numeric_snapshot,direct,repeat_value_new_extraction,7,0.0679999939166009,0.0559999607503414,0.10399997700005799
numeric-n1000-p1024,numeric_snapshot,direct,column_summary,7,0.0120000331662595,0.0109999673441052,0.0359999830834568
numeric-n1000-p1024,numeric_snapshot,direct,repeat_column_summary,7,0.0089999521151185,0.00699999509379268,0.732999993488193
numeric-n1000-p1024,numeric_snapshot,direct,fraction_workflow,7,4.27299999864772,4.0070000104606205,6.0680000460706705
numeric-n1000-p1024,numeric_snapshot,direct,expanded_fraction_workflow,7,10.2310000220314,9.75599995581433,12.1719999588095
numeric-n1000-p1024,numeric_snapshot,direct,all_columns_summary,7,8.77900002524257,8.60699999611825,10.260000010020999
pure-numeric-n1000-p1024,numeric_snapshot,direct,empty_control,100,0.0,0.0,0.241999980062246
pure-numeric-n1000-p1024,numeric_snapshot,direct,load,7,6.87899999320507,6.76700001349673,15.323999978136301
pure-numeric-n1000-p1024,numeric_snapshot,direct,column_handle,7,0.010000017937272801,0.00699999509379268,0.0529999961145222
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value_same_handle,7,0.0989999971352518,0.0909999944269657,0.41200005216524
pure-numeric-n1000-p1024,numeric_snapshot,direct,repeat_value_same_handle,7,0.0540000037290156,0.0509999808855355,0.055000011343509
pure-numeric-n1000-p1024,numeric_snapshot,direct,repeat_value_new_extraction,7,0.0589999835938215,0.0529999961145222,0.0930000096559525
pure-numeric-n1000-p1024,numeric_snapshot,direct,column_summary,7,0.0160000054165721,0.0119999749585986,0.0320000108331442
pure-numeric-n1000-p1024,numeric_snapshot,direct,repeat_column_summary,7,0.0160000054165721,0.011000025551766199,0.723000033758581
pure-numeric-n1000-p1024,numeric_snapshot,direct,fraction_workflow,7,6.68699998641387,6.44999998621643,9.11400001496077
pure-numeric-n1000-p1024,numeric_snapshot,direct,expanded_fraction_workflow,7,21.4879999984987,21.0220000008121,24.2459999863058
pure-numeric-n1000-p1024,numeric_snapshot,direct,all_columns_summary,7,11.2480000243522,10.2610000176355,11.7559999926016
pure-numeric-n1000-p1024,baseline,direct,empty_control,100,0.0,0.0,0.212999992072582
pure-numeric-n1000-p1024,baseline,direct,load,7,7.36200000392273,7.08299997495487,15.4409999959171
