case,family,rows,file_columns,loaded_columns,method,decoder,variant,scenario,threads,n,median_ms,minimum_ms,maximum_ms
pure-numeric-n1000-p128,pure_numeric,1000,128,128,direct_fraction,baseline,direct,fraction,0,8,2.6458333333333335,2.5416666666666665,2.9374999999999996
pure-numeric-n1000-p128,pure_numeric,1000,128,7,direct_known5_fraction,baseline,direct,known5_fraction,0,8,1.59375,1.515625,1.78125
pure-numeric-n1000-p128,pure_numeric,1000,128,128,direct_load,baseline,direct,load,0,8,1.3562500000000002,1.3375,1.5125
pure-numeric-n1000-p8,pure_numeric,1000,8,8,current_all,baseline,current,all,0,8,0.6656249999999999,0.6562499999999999,0.75
pure-numeric-n1000-p8,pure_numeric,1000,8,8,current_datasig,baseline,current,datasig,0,8,1.44375,1.3875,1.5875
pure-numeric-n1000-p8,pure_numeric,1000,8,8,current_fraction,baseline,current,fraction,0,8,1.6484375,1.5625,1.9375
pure-numeric-n1000-p8,pure_numeric,1000,8,1,current_known5_fraction,baseline,current,known5_fraction,0,8,1.703125,1.625,1.96875
pure-numeric-n1000-p8,pure_numeric,1000,8,8,current_load,baseline,current,load,0,8,0.628125,0.61875,0.71875
pure-numeric-n1000-p8,pure_numeric,1000,8,8,deferred_all,numeric_snapshot,direct,all,0,8,0.5240384615384616,0.4951923076923077,0.5913461538461539
pure-numeric-n1000-p8,pure_numeric,1000,8,8,deferred_current_load,numeric_snapshot,current,load,0,8,0.6306818181818181,0.6193181818181818,0.7102272727272727
pure-numeric-n1000-p8,pure_numeric,1000,8,8,deferred_datasig,numeric_snapshot,direct,datasig,0,8,1.2999999999999998,1.275,1.38125
pure-numeric-n1000-p8,pure_numeric,1000,8,8,deferred_fraction,numeric_snapshot,direct,fraction,0,8,1.50625,1.4749999999999999,1.725
pure-numeric-n1000-p8,pure_numeric,1000,8,1,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,1.6328125,1.59375,1.890625
pure-numeric-n1000-p8,pure_numeric,1000,8,8,deferred_load,numeric_snapshot,direct,load,0,8,0.421875,0.3984375,0.48046875
pure-numeric-n1000-p8,pure_numeric,1000,8,8,direct_all,baseline,direct,all,0,8,0.4625,0.45,0.5208333333333334
pure-numeric-n1000-p8,pure_numeric,1000,8,8,direct_datasig,baseline,direct,datasig,0,8,1.2135416666666667,1.1979166666666667,1.3645833333333333
pure-numeric-n1000-p8,pure_numeric,1000,8,8,direct_fraction,baseline,direct,fraction,0,8,1.425,1.3625,1.7000000000000002
pure-numeric-n1000-p8,pure_numeric,1000,8,1,direct_known5_fraction,baseline,direct,known5_fraction,0,8,1.5703125,1.515625,1.796875
pure-numeric-n1000-p8,pure_numeric,1000,8,8,direct_load,baseline,direct,load,0,8,0.42083333333333334,0.4166666666666667,0.48750000000000004
pure-numeric-n10000-p128,pure_numeric,10000,128,128,current_all,baseline,current,all,0,8,5.359375,5.125,5.65625
pure-numeric-n10000-p128,pure_numeric,10000,128,128,current_datasig,baseline,current,datasig,0,8,13.0,12.75,14.375
pure-numeric-n10000-p128,pure_numeric,10000,128,128,current_fraction,baseline,current,fraction,0,8,5.328125,5.0625,5.71875
pure-numeric-n10000-p128,pure_numeric,10000,128,7,current_known5_fraction,baseline,current,known5_fraction,0,8,2.635416666666667,2.5833333333333335,2.8958333333333335
pure-numeric-n10000-p128,pure_numeric,10000,128,128,current_load,baseline,current,load,0,8,3.5625,3.3125,3.84375
pure-numeric-n10000-p128,pure_numeric,10000,128,128,deferred_all,numeric_snapshot,direct,all,0,8,8.291666666666671,8.000000000000009,9.25
pure-numeric-n10000-p128,pure_numeric,10000,128,128,deferred_current_load,numeric_snapshot,current,load,0,8,2.5104166666666665,2.4375,2.7291666666666665
pure-numeric-n10000-p128,pure_numeric,10000,128,128,deferred_datasig,numeric_snapshot,direct,datasig,0,8,16.857142857142854,16.428571428571427,18.571428571428573
pure-numeric-n10000-p128,pure_numeric,10000,128,128,deferred_fraction,numeric_snapshot,direct,fraction,0,8,5.296875,5.21875,5.78125
pure-numeric-n10000-p128,pure_numeric,10000,128,7,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,4.4375,4.375,4.96875
pure-numeric-n10000-p128,pure_numeric,10000,128,128,deferred_load,numeric_snapshot,direct,load,0,8,1.325,1.3,1.5
