run,case,reader,workload,variant,median_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,median_load_seconds,min_load_seconds,max_load_seconds,median_workflow_seconds,min_workflow_seconds,max_workflow_seconds,median_cpu_seconds,min_cpu_seconds,max_cpu_seconds,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes
downstream-v3,india-30-scattered-known,arrow,first_write,baseline,0.002,0.001,0.002,0.06,0.06,0.061,0.108,0.107,0.109,0.002,0.001,0.002,333455360.0,331792384,334004224
downstream-v3,india-30-scattered-known,arrow,first_write,candidate,0.002,0.001,0.002,0.061,0.061,0.061,0.108,0.108,0.115,0.001,0.001,0.002,306700288.0,306151424,308953088
downstream-v3,india-30-scattered-known,arrow,r_vector,baseline,0.0155,0.015,0.016,0.06,0.059,0.062,0.076,0.075,0.077,0.0155,0.015,0.016,281083904.0,279347200,281477120
downstream-v3,india-30-scattered-known,arrow,r_vector,candidate,0.019,0.019,0.021,0.061,0.06,0.062,0.0805,0.08,0.083,0.019,0.018,0.021,257187840.0,256933888,261619712
downstream-v3,mixed-all,dta,sparse,baseline,0.002,0.002,0.002,0.004,0.004,0.005,0.006,0.006,0.007,0.002,0.001,0.002,108191744.0,108134400,108298240
downstream-v3,mixed-all,dta,sparse,candidate,0.002,0.002,0.002,0.004,0.004,0.005,0.007,0.006,0.007,0.002,0.002,0.002,108462080.0,108281856,108593152
downstream-v3,mixed-all,dta,traverse,baseline,0.03,0.03,0.032,0.004,0.004,0.005,0.034,0.034,0.037,0.033,0.033,0.035,113991680.0,113819648,114098176
downstream-v3,mixed-all,dta,traverse,candidate,0.03,0.03,0.031,0.004,0.004,0.004,0.0345,0.034,0.035,0.033,0.033,0.034,114196480.0,114065408,114311168
downstream-v3,mixed-all,dta,first_write,baseline,0.002,0.001,0.002,0.004,0.004,0.005,0.0205,0.02,0.021,0.002,0.001,0.002,113336320.0,113278976,113459200
downstream-v3,mixed-all,dta,first_write,candidate,0.002,0.001,0.002,0.004,0.004,0.005,0.02,0.019,0.021,0.0015,0.001,0.002,112656384.0,112574464,113524736
downstream-v3,mixed-all,dta,r_vector,baseline,0.001,0,0.001,0.0045000000000000005,0.004,0.005,0.005,0.005,0.006,0.001,0,0.001,108494848.0,108363776,108658688
downstream-v3,mixed-all,dta,r_vector,candidate,0.001,0,0.001,0.004,0.004,0.004,0.005,0.005,0.005,0.0005,0,0.001,108371968.0,108068864,108478464
downstream-v3,mixed-all,arrow,sparse,baseline,0.002,0.002,0.002,0.0035,0.003,0.004,0.006,0.005,0.006,0.002,0.001,0.002,110723072.0,110657536,110886912
downstream-v3,mixed-all,arrow,sparse,candidate,0.002,0.002,0.002,0.005,0.005,0.005,0.0075,0.007,0.008,0.002,0.001,0.002,108429312.0,108281856,110444544
downstream-v3,mixed-all,arrow,traverse,baseline,0.031,0.03,0.037,0.004,0.003,0.004,0.035,0.033,0.041,0.0345,0.032,0.04,113680384.0,113180672,114737152
downstream-v3,mixed-all,arrow,traverse,candidate,0.031,0.03,0.037,0.005,0.005,0.005,0.036,0.036,0.043,0.033,0.032,0.039,110370816.0,110280704,110641152
downstream-v3,mixed-all,arrow,first_write,baseline,0.002,0.001,0.002,0.004,0.003,0.004,0.0205,0.02,0.023,0.002,0.001,0.002,113418240.0,112328704,113983488
downstream-v3,mixed-all,arrow,first_write,candidate,0.0015,0.001,0.002,0.005,0.004,0.006,0.021,0.02,0.023,0.002,0.001,0.002,108994560.0,108527616,110968832
downstream-v3,mixed-all,arrow,r_vector,baseline,0.001,0,0.001,0.004,0.003,0.004,0.0045000000000000005,0.004,0.005,0.0005,0,0.001,110764032.0,110592000,110936064
downstream-v3,mixed-all,arrow,r_vector,candidate,0.0,0,0.001,0.005,0.004,0.005,0.006,0.005,0.006,0.0005,0,0.001,108339200.0,108199936,108756992
